分类,篇名,作者/編者/譯者,出處
2,秋浦歌（第十五首）,李白,李太白全集
2,送友人,李白,李太白全集
2,望天門山,李白,李太白全集
2,望廬山瀑布,李白,李太白全集
2,黃鶴樓送孟浩然之廣陵,李白,李太白全集
2,獨坐敬亭山,李白,李太白全集
2,靜夜思,李白,李太白全集
2,古從軍行,李頎,李頎詩集
2,如夢令（常記溪亭日暮）,李清照,漱玉詞
2,醉花陰（薄霧濃雲愁永晝）,李清照,漱玉詞
2,夜雨寄北,李商隱,李義山詩集
2,樂遊原,李商隱,李義山詩集
2,夜上受降城聞笛,李益,古今詩刪
2,長相思（雲一緺）,李煜,南唐二主詞
2,相見歡（無言獨上西樓）,李煜,南唐二主詞
2,浪淘沙（簾外雨潺潺）,李煜,南唐二主詞
2,虞美人（春花秋月何時了）,李煜,南唐二主詞
2,題臨安邸,林升,宋詩一百首
2,五月十九日大雨,劉基,中國詩歌寶庫：元明詩選
2,竹枝詞（楊柳青青江水平）,劉禹錫,劉夢得文集
2,秋詞,劉禹錫,劉夢得文集
2,陋室銘,劉禹錫,劉夢得文集
2,烏衣巷,劉禹錫,劉夢得文集
2,江雪,柳宗元,柳河東集
2,十一月四日風雨大作（其二）,陸游,陸放翁全集
2,示兒,陸游,陸放翁全集
2,書憤,陸游,宋詩選
2,天淨沙·秋思,馬致遠,東籬樂府
2,撥不斷（布衣中）,馬致遠,元曲三百首箋
2,春曉,孟浩然,孟浩然集
2,過故人莊,孟浩然,孟浩然集
2,遊子吟,孟郊,孟東野集
2,生查子（去年元夜時）,歐陽修,六一詞
2,水仙子·尋梅,喬吉,惺惺道人樂府
2,鵲橋仙（纖雲弄巧）,秦觀,淮海集
2,對酒,秋瑾,秋瑾選集
2,水調歌頭並序（明月幾時有）,蘇軾,東坡樂府
2,浣溪沙（山下蘭芽短浸溪）,蘇軾,東坡樂府
2,日喻,蘇軾,蘇東坡集
2,天香引·西湖感舊,湯式,暫時從缺
2,移居（其二：春秋多佳日）,陶潛,陶淵明集
2,詠荊軻,陶潛,陶淵明集
2,歸園田居,陶潛,陶淵明集
2,元日,王安石,臨川集
2,泊船瓜洲,王安石,臨川集
2,梅花,王安石,臨川集
2,送杜少府之任蜀州,王勃,王子安集
2,出塞,王昌齡,王昌齡集
2,芙蓉樓送辛漸,王昌齡,王昌齡集
2,從軍行,王昌齡,王昌齡集
2,涼州詞（葡萄美酒夜光杯）,王翰,全唐詩
2,輞川閒居贈裴秀才廸,王維,唐宋詩舉要
2,九月九日憶山東兄弟,王維,王右丞集
2,竹里館,王維,王右丞集
2,相思,王維,王右丞集
2,鹿柴,王維,王右丞集
2,渭城曲·送元二使安西,王維,王右丞集
2,村行,王禹偁,小畜集
2,涼州詞（黃河遠上白雲間）,王之渙,全唐詩
2,登鸛鵲樓,王之渙,全唐詩
2,滁州西澗,韋應物,韋蘇州集
